panel,book,cost,mode,ceil,screened,n_adm,arm,m,IS_Sharpe,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,gross
u56,EWall,10.0,family,1.0,True,25,abs12-rw,1.0,1.1321953374147777,0.12045286302342895,1.031338857338196,-0.19885932203290213,0.7502568466489631
u56,EWall,25.0,family,1.0,True,21,control,1.0,1.0993258136003343,0.13671134762230652,1.1250416500196643,-0.22547617750089244,0.7502297498779416
broad,V1u,10.0,family,1.0,False,0,ebud-0.20,0.75,0.7275112288082732,0.029470785411441325,0.4483970115983604,-0.17188349870939013,0.48048548572220634
broad,V1u,25.0,family,1.0,False,0,ebud-0.10,1.0,0.3438800636485319,-0.000919943279876767,5.113546624357708e-05,-0.11335965255625091,0.3056437936406316
broad,TOP20,10.0,family,1.0,True,80,ebud-0.10,1.0,1.1436590159918545,0.12228211061770566,0.8535342288080167,-0.2288828170330488,0.6583658837560555
broad,TOP20,25.0,family,1.0,True,10,ebud-0.10,1.0,1.021874482795169,0.10539299399804758,0.7510865702437203,-0.23016855578352646,0.6583658837560555
broad,EWall,10.0,family,1.0,True,31,vol60-dg,1.0,1.1565431775565733,0.12011126700793429,1.1224553129457142,-0.18696236312424186,0.7233161870936443
broad,EWall,25.0,family,1.0,True,21,vol60-dg,1.0,1.1392034128819102,0.11769385576362001,1.1020383628219215,-0.18709252316824732,0.7233161870936443
small,V1u,10.0,family,1.0,False,0,ddctl-8/.5/high,0.65,0.6521534153031082,0.025205730279263205,0.4431321705944808,-0.15878404235998755,0.31441689518961186
small,V1u,25.0,family,1.0,False,0,ebud-0.20,1.0,0.3386775414191575,-0.011954737382619207,-0.07590118955195838,-0.37923977856856683,0.5033317267479512
small,TOP20,10.0,family,1.0,False,0,ebud-0.10,0.55,0.7215547596671987,0.0912221901498882,0.7812637673835188,-0.17234949340241323,0.403366427178002
small,TOP20,25.0,family,1.0,False,0,ebud-0.10,0.55,0.5879712300097495,0.07681903526773048,0.6716221500328897,-0.1731025959817878,0.403366427178002
small,EWall,10.0,family,1.0,False,0,control,1.0,0.7737298887497327,0.10089643214031607,0.6366624355474834,-0.36166373582084055,0.7501008892339182
small,EWall,25.0,family,1.0,False,0,ddctl-8/.5/recover,1.0,0.8017717052033965,0.07553049086706154,0.6830863344772165,-0.23421384151565972,0.5445232782706466
u56,V1u,10.0,family,1.05,False,0,ebud-0.10,0.8,0.599836488309743,0.027218385269575762,0.5695479818607977,-0.0909047518676167,0.36947505325454116
u56,V1u,25.0,family,1.05,False,0,ebud-0.10,0.85,0.30165615292272896,0.010885355937885866,0.24179529909872366,-0.1091659616966637,0.374514670087127
u56,TOP20,10.0,family,1.05,True,43,ebud-0.20,0.75,1.187557621456552,0.1243113943211902,1.167124733493759,-0.17014210377791916,0.560313375886336
u56,TOP20,25.0,family,1.05,False,0,control,1.05,1.0693789825993285,0.15842840616161125,1.072334641614607,-0.2335682562080087,0.7843669332971132
u56,EWall,10.0,family,1.05,True,35,abs12-rw,1.05,1.1323179640854153,0.12646100573884556,1.0313175674329862,-0.20806055164726855,0.7877282553484951
u56,EWall,25.0,family,1.05,True,28,control,1.05,1.0996318667936313,0.14361550326139993,1.1250391407859102,-0.23572108591750274,0.7877039243282762
broad,V1u,10.0,family,1.05,False,0,ebud-0.20,0.75,0.7275112288082732,0.029470785411441325,0.4483970115983604,-0.17188349870939013,0.48048548572220634
broad,V1u,25.0,family,1.05,False,0,ebud-0.10,1.05,0.3476280706390823,-0.0010801125392922994,-0.003531419990559606,-0.113306831650683,0.30748595137725937
broad,TOP20,10.0,family,1.05,True,81,ebud-0.10,1.05,1.154203310096948,0.12544323977348593,0.8473773380615104,-0.23489261341626544,0.6785277871109905
broad,TOP20,25.0,family,1.05,True,11,ebud-0.10,1.05,1.0349360001597565,0.10829181557389322,0.7472514357331561,-0.23617046085907423,0.6785277871109905
broad,EWall,10.0,family,1.05,True,37,vol60-dg,1.05,1.156766707487662,0.12615897692903433,1.1221788957427505,-0.19581814867704905,0.7594502315696804
broad,EWall,25.0,family,1.05,True,23,vol60-dg,1.05,1.139486816059577,0.12361264380278714,1.101812442104073,-0.19595120991932746,0.7594502315696804
small,V1u,10.0,family,1.05,False,0,ddctl-8/.5/high,0.65,0.6521534153031082,0.025205730279263205,0.4431321705944808,-0.15878404235998755,0.31441689518961186
