panel,tau,mode,bps,kind,on_share,d_real,null_max_abs,null_mean,clears_two,clears_signed,clears_signed_IS,gap,overlap,pass4a,pass4b
BROAD136,0.1,half,10,RS16,0.8769230769230769,0.025503676449835533,0.0373401728685846,0.02860371723605295,False,False,False,0.00024631746250775277,0.9978362573099412,False,False
BROAD136,0.1,half,10,RS2,0.8769230769230769,0.025503676449835533,0.05095303907146609,0.03428109177875936,False,False,False,0.03257597657313692,0.8953216374269006,False,False
BROAD136,0.1,half,10,RS4,0.8769230769230769,0.025503676449835533,0.0418672474661802,0.029669865478632523,False,False,False,0.016624357004644832,0.928187134502924,False,False
BROAD136,0.1,half,10,RS8,0.8769230769230769,0.025503676449835533,0.036959720362071624,0.02855186777230372,False,False,False,1.8627117452883295e-05,0.99766081871345,False,False
BROAD136,0.1,half,25,ROT,0.8769230769230769,0.07539181517360305,0.10147504399329832,0.08120713372312942,False,False,False,0.04870845644569168,0.8796491228070176,False,False
BROAD136,0.1,half,25,RS1,0.8769230769230769,0.07539181517360305,0.10297149487573098,0.08202522811179677,False,False,False,0.054045979696172114,0.8781286549707602,False,False
BROAD136,0.1,half,25,RS16,0.8769230769230769,0.07539181517360305,0.08733568874091124,0.0785344626463445,False,False,False,0.00024631746250775277,0.9978362573099412,False,False
BROAD136,0.1,half,25,RS2,0.8769230769230769,0.07539181517360305,0.09788141894616553,0.0810852810478762,False,False,False,0.03257597657313692,0.8953216374269006,False,False
BROAD136,0.1,half,25,RS4,0.8769230769230769,0.07539181517360305,0.09027158750922548,0.07805474087536596,False,False,False,0.016624357004644832,0.928187134502924,False,False
BROAD136,0.1,half,25,RS8,0.8769230769230769,0.07539181517360305,0.08691168414283679,0.07845691397796763,False,False,False,1.8627117452883295e-05,0.99766081871345,False,False
BROAD136,0.1,skip,10,ROT,0.8769230769230769,0.009128794167337584,0.18371209940511868,0.07578689870832073,False,False,False,0.44522228057578445,0.8796491228070176,False,False
BROAD136,0.1,skip,10,RS1,0.8769230769230769,0.009128794167337584,0.1686231555039437,0.057740935629176315,False,False,False,0.7983947435730593,0.8774853801169591,False,False
BROAD136,0.1,skip,10,RS16,0.8769230769230769,0.009128794167337584,0.05566944221618009,0.032881998317814916,False,False,False,0.005043226305175678,0.99766081871345,False,False
BROAD136,0.1,skip,10,RS2,0.8769230769230769,0.009128794167337584,0.22739637667048052,0.051592716279784324,False,False,False,0.5935280061627801,0.8953216374269004,False,False
BROAD136,0.1,skip,10,RS4,0.8769230769230769,0.009128794167337584,0.1228878024041975,0.04470171668625541,False,False,False,0.2579501016968181,0.9274269005847952,False,False
BROAD136,0.1,skip,10,RS8,0.8769230769230769,0.009128794167337584,0.048818968788968964,0.03252427275091528,False,False,False,0.002862631659164076,0.99766081871345,False,False
BROAD136,0.1,skip,25,ROT,0.8769230769230769,0.13380895392668601,0.3064228313284435,0.1913312517476145,False,False,False,0.44522228057578445,0.8796491228070176,False,False
BROAD136,0.1,skip,25,RS1,0.8769230769230769,0.13380895392668601,0.27623013832359133,0.16493578087112173,False,False,False,0.7983947435730593,0.8774853801169591,False,False
BROAD136,0.1,skip,25,RS16,0.8769230769230769,0.13380895392668601,0.1803790248765964,0.15776290269384324,False,False,False,0.005043226305175678,0.99766081871345,False,False
BROAD136,0.1,skip,25,RS2,0.8769230769230769,0.13380895392668601,0.33960468022526247,0.16355351414479763,False,False,False,0.5935280061627801,0.8953216374269004,False,False
BROAD136,0.1,skip,25,RS4,0.8769230769230769,0.13380895392668601,0.24271877787681062,0.1648574020574694,False,False,False,0.2579501016968181,0.9274269005847952,False,False
BROAD136,0.1,skip,25,RS8,0.8769230769230769,0.13380895392668601,0.17368136137514323,0.15714831050579425,False,False,False,0.002862631659164076,0.99766081871345,False,False
BROAD136,0.2,half,10,ROT,0.6410256410256411,0.013115520709434336,0.03396191171547347,0.020897029784864157,False,False,False,0.07370544822448037,0.64488,False,False
BROAD136,0.2,half,10,RS1,0.6410256410256411,0.013115520709434336,0.04964313344311344,0.02220277267825057,False,False,False,0.07881218573132806,0.64104,False,False
BROAD136,0.2,half,10,RS16,0.6410256410256411,0.013115520709434336,0.019322007498744465,0.011178460379149196,False,False,False,0.0015673817202510735,0.9810399999999998,False,False
