panel,shape,eps,draw,pick_flip,ref_pick,pick,is_Sharpe,oos_CAGR,oos_Sharpe,oos_MaxDD,base_oos_CAGR,base_oos_Sharpe,base_oos_MaxDD,spy_oos_CAGR,spy_oos_Sharpe,spy_oos_MaxDD
U56,IID,0.003,7,False,BAND08@g1.00,BAND08@g1.00,1.137227623908282,0.11954732506566979,1.158285600025707,-0.1903452729544658,0.09483745193317894,1.2776491518924271,-0.12032587642290637,0.15231526843624632,0.8605172922179918,-0.3374919784019861
U56,IID,0.003,8,False,BAND08@g1.00,BAND08@g1.00,1.1222157323145376,0.11998003889186704,1.1600333932683733,-0.19022510691027328,0.09469551826587153,1.2753328690045536,-0.12023003158241574,0.1522295156449136,0.8536652776488052,-0.3390907506834602
U56,IID,0.003,9,False,BAND08@g1.00,BAND08@g1.00,1.1211527987350909,0.12010016298755377,1.1605214699688846,-0.19037996450896577,0.09398687761861568,1.2656940580748157,-0.12059248094149799,0.15299681720601876,0.8600131596442179,-0.3367199128074936
U56,IID,0.003,10,False,BAND08@g1.00,BAND08@g1.00,1.1219595981622028,0.1216556601055192,1.1764814800836116,-0.19062628410089644,0.09465443682632912,1.276268247898783,-0.12068306059471823,0.15245010100262824,0.8589237594753236,-0.337431686840152
U56,IID,0.003,11,False,BAND08@g1.00,BAND08@g1.00,1.1316937925901338,0.12087119761776965,1.16944706192189,-0.19035917084538678,0.09485019426280261,1.277952979595925,-0.12060749958005101,0.151982108448117,0.8490226916497909,-0.33674716994200626
U56,IID,0.003,12,False,BAND08@g1.00,BAND08@g1.00,1.1263857690385854,0.11942883735465726,1.1567433260143851,-0.1899072762513878,0.09382636191933602,1.264016820020982,-0.12032718930586561,0.15187299379638786,0.8577360381788202,-0.3398075415302996
U56,IID,0.003,13,False,BAND08@g1.00,BAND08@g1.00,1.12276681660532,0.1202133436089623,1.1640515346446914,-0.1906548503344604,0.09543468001184285,1.2854064624589805,-0.12063702009670185,0.15227644581861122,0.8583064806925232,-0.33797961153709677
U56,IID,0.003,14,False,BAND08@g1.00,BAND08@g1.00,1.115842308771424,0.11970265471951591,1.1574676561307082,-0.19027741946486976,0.09438250013843197,1.273578401943223,-0.1203962434985888,0.15228236055806743,0.8576464122250158,-0.33752157143482375
U56,IID,0.003,15,False,BAND08@g1.00,BAND08@g1.00,1.1260860482993487,0.120782045664793,1.1665524699625172,-0.19096750278897223,0.09458954086062499,1.2766875348458173,-0.12075246045387711,0.1522636084061395,0.855316779882278,-0.33674478339763103
U56,IID,0.003,16,False,BAND08@g1.00,BAND08@g1.00,1.120166696330573,0.11956651474162316,1.1563088925555338,-0.19051612789450456,0.09466232114138995,1.2743954989344821,-0.12061630946055357,0.1520407474847596,0.8611824062931493,-0.33983244419548364
U56,IID,0.003,17,False,BAND08@g1.00,BAND08@g1.00,1.1229375607109295,0.12035501502068913,1.1653608102812238,-0.19055235317739228,0.09424687443821611,1.2709656265787752,-0.12073996308302426,0.15282793067844214,0.8614612499982577,-0.3368149281493149
U56,IID,0.003,18,False,BAND08@g1.00,BAND08@g1.00,1.113396461950104,0.12106026493572974,1.1665531544784675,-0.19070326728944254,0.09489728743209347,1.2748854722164389,-0.1206566872744258,0.1520501185985781,0.8568432788987432,-0.33722228515916386
U56,IID,0.003,19,False,BAND08@g1.00,BAND08@g1.00,1.1234222223301316,0.11924203154086577,1.1539956037026196,-0.19070345660678778,0.09449782106103188,1.2728338100614913,-0.12061484235601005,0.1523050121112408,0.8588305510677873,-0.3401715648586997
U56,IID,0.003,20,False,BAND08@g1.00,BAND08@g1.00,1.1260544446923195,0.1206877904493302,1.1693205771952904,-0.19013395946414924,0.09394255008249175,1.2678628529834035,-0.12015176157817586,0.1518518423172348,0.8535591147003156,-0.3380099253418627
U56,IID,0.003,21,False,BAND08@g1.00,BAND08@g1.00,1.1302722533266059,0.12134022397713595,1.1695623752627025,-0.19096445274639484,0.09426511496490364,1.2724853225405892,-0.12066946733611106,0.15265643336257684,0.8545194191070754,-0.338263375008931
U56,IID,0.003,22,False,BAND08@g1.00,BAND08@g1.00,1.1203626446121386,0.1198946499464657,1.1587246945892165,-0.19070166919163045,0.09444407532206389,1.2742962104882951,-0.12055516789362342,0.1522206133603612,0.854114965476235,-0.3403488824420495
U56,IID,0.003,23,False,BAND08@g1.00,BAND08@g1.00,1.1178771681059074,0.11944124604305273,1.155275285902206,-0.1904527696716476,0.09478703709745173,1.2772138137912579,-0.1207179445718175,0.15270855060759092,0.859115825085392,-0.338483877337324
U56,BLOCK,0.0003,0,False,BAND08@g1.00,BAND08@g1.00,1.1223804098487116,0.12002060812163462,1.1619675247353212,-0.1904731508775931,0.09443302724770497,1.274271094094385,-0.12053345216321232,0.15234214827411297,0.8719348067595399,-0.3371775541325326
U56,BLOCK,0.0003,1,False,BAND08@g1.00,BAND08@g1.00,1.1246787935604028,0.11991443342952723,1.1611082366424839,-0.19050661216713516,0.09419047888669585,1.2709195460365048,-0.12054143787653604,0.15239781037198963,0.8722332816734855,-0.3370468727159168
U56,BLOCK,0.0003,2,False,BAND08@g1.00,BAND08@g1.00,1.1233210779605054,0.11968989232854743,1.1592404177945668,-0.19048112828784625,0.09464154770427124,1.2768109642285792,-0.12053915000897886,0.15232052094547188,0.8718209584357466,-0.3372802153316665
U56,BLOCK,0.0003,3,False,BAND08@g1.00,BAND08@g1.00,1.1214072045944692,0.11988641690828405,1.1609092665239862,-0.19049564022510568,0.09418552048423678,1.2710811622183817,-0.12054574112130234,0.1523465471774761,0.8718925965351947,-0.3368244528144303
