panel,kind,q,draw,Ebar,Emed,selectivity20,EW_Sharpe,EW_OOS_Sharpe,ADAPT_Sharpe,S1_rho_n_OOS,S2_overlap,S3_reversal,S4_argmax_n,S5_fix_minus_adapt,best_prem,breadth,breadth_IS,breadth_OOS
MIX q=0.8 d5,mix,0.8,5.0,15.58433734939759,16.0,1.2833397758020875,0.3982802331507505,0.32631024332402814,0.38484808301917317,-0.942857142857143,0.9620512820512819,0.2,10.0,0.046331457549607546,0.09147878389946079,0.3849702380952381,0.3855223880597015,0.3846039603960396
MIX q=0.9 d0,mix,0.9,0.0,14.068674698795181,14.0,1.4215980131883188,0.2668644813909759,-0.01953761802856561,0.2540271193846775,0.48571428571428577,0.9657024793388429,0.3333333333333333,10.0,-0.05499062746039157,-0.027095801140854858,0.34752976190476187,0.31589552238805974,0.3685148514851485
MIX q=0.9 d1,mix,0.9,1.0,14.70722891566265,15.0,1.3598754812812321,0.17991670645006264,0.12758735999126516,0.1892870636066933,-0.14285714285714288,0.9733727810650887,0.06666666666666667,10.0,0.01587351405679613,0.07328184980826052,0.3633035714285714,0.35843283582089547,0.3665346534653465
MIX q=0.9 d2,mix,0.9,2.0,14.71566265060241,15.0,1.3590961192074669,0.3663103540517659,0.23885302148752247,0.34868088925015606,-0.8857142857142858,0.9671532846715328,0.06666666666666667,5.0,0.01783570879312163,0.04476358769346617,0.3635119047619047,0.3413432835820896,0.3782178217821782
MIX q=0.9 d3,mix,0.9,3.0,13.769879518072289,14.0,1.4524455332925017,0.449554493890146,0.3133423623505989,0.4493316539516365,-0.7714285714285715,0.9673333333333333,0.13333333333333333,10.0,-0.03789848738771395,0.07413618897289453,0.34014880952380955,0.31298507462686564,0.35816831683168315
MIX q=0.9 d4,mix,0.9,4.0,15.428915662650603,16.0,1.2962673746681244,0.4046791111740215,0.36011296480224325,0.409294508654111,-0.08571428571428573,0.9702325581395349,0.4666666666666667,20.0,0.08970463235688686,0.09432002983697635,0.38113095238095235,0.3587313432835821,0.395990099009901
MIX q=0.9 d5,mix,0.9,5.0,14.127710843373494,15.0,1.4156575132184888,0.3504654093737346,0.2931710806504547,0.3388209756173777,-0.6571428571428573,0.9807142857142858,0.26666666666666666,10.0,0.05522252769777586,0.09504476384816302,0.3489880952380952,0.3344776119402985,0.3586138613861386
MIX q=1.0 d0,mix,1.0,0.0,12.708433734939758,13.0,1.5737580583996966,0.33439807613244454,0.2535723652121838,0.3253996603841506,-0.7714285714285715,0.9762295081967214,0.26666666666666666,10.0,-0.018796401666600182,0.06920093131522775,0.3139285714285714,0.26604477611940297,0.3456930693069307
MIX q=1.0 d1,mix,1.0,1.0,12.266265060240963,12.0,1.6304881642274827,-0.01465313886889446,-0.25015756238153214,-0.021373927496329558,-0.7714285714285715,0.9804347826086959,0.0,5.0,0.1052222325608766,0.15798930923954385,0.3030059523809524,0.2834328358208955,0.315990099009901
MIX q=1.0 d2,mix,1.0,2.0,13.157831325301204,14.0,1.5200073253365076,0.3674775507520509,0.40399268333059785,0.3703940613861224,-0.3714285714285715,0.9694736842105264,0.06666666666666667,10.0,-0.02004319042359587,0.06812951330427358,0.3250297619047619,0.282089552238806,0.3535148514851486
MIX q=1.0 d3,mix,1.0,3.0,11.579518072289156,12.0,1.7271875975444804,0.15005683505472944,0.15346788545462114,0.148631647622303,-0.7714285714285715,0.9800000000000001,0.13333333333333333,15.0,-0.009311048777835923,0.007750584304332703,0.28604166666666664,0.2524626865671642,0.30831683168316837
MIX q=1.0 d4,mix,1.0,4.0,12.516867469879518,13.0,1.597843873327558,0.5174979147383872,0.40591537888050405,0.5153730994449001,-0.942857142857143,0.9719298245614035,0.2,10.0,-0.09902840600977497,-0.029476765929273896,0.30919642857142854,0.2917910447761194,0.32074257425742575
MIX q=1.0 d5,mix,1.0,5.0,11.742168674698796,12.0,1.7032628770777754,-0.03823650125109264,-0.016986471610484596,-0.04207139790995141,-0.08571428571428573,0.9848837209302328,0.2,10.0,0.17679381432101338,0.20063935721384552,0.29005952380952377,0.3002238805970149,0.2833168316831683
U56,named,0.0,,36.14316239316239,40.0,0.5533550103458469,1.0529025422451463,1.1152035930582378,1.015209876520806,1.0,0.7982968369829684,0.8666666666666667,40.0,0.0818266920395414,0.0727501872338765,0.6571484071484072,0.6582814445828143,0.6837944664031621
B136,named,0.0,,89.35828877005348,98.0,0.22381807301017353,1.0278772028988117,1.0197977090316812,0.8503208289428925,1.0,0.5755839822024472,1.0,40.0,0.10889638644132271,-0.025888714263377244,0.6619132501485443,0.681095890410959,0.6782838283828383
BSTK100,named,0.0,,66.17433155080214,72.0,0.3022319913370937,1.0228373951970056,1.0095999331099443,0.9572515591899007,0.942857142857143,0.7017357222844346,0.9333333333333333,40.0,0.045797966311981186,0.0138877253759766,0.6617433155080215,0.6878082191780821,0.6754455445544555
ETF36,named,0.0,,23.183957219251337,26.0,0.8626654979932648,0.6281241511695829,0.6671024032211856,0.6315573029712007,0.8285714285714287,0.91811797752809,0.5333333333333333,20.0,0.1733170952687375,0.17675024707035536,0.6623987776928953,0.661917808219178,0.6863932107496464
SMALL439,named,1.0,,141.5265060240964,149.0,0.14131628457353979,0.33611343420604756,0.29095981782086194,0.3742554783896291,-0.08571428571428573,0.4010493827160494,0.13333333333333333,15.0,0.09806246992535916,0.16276400993738976,0.3223838406015863,0.2726620276468936,0.3327860348677237
