legset,wstart,cost,kind,panel,book,gross,cadence,binding,rec_h1,rec_h2,disj_h1,disj_h2,spy_h1,spy_h2
REC5,2013-01-01,0.0,DESTROYED,U56,TOP20,0.75,M,L_H1,1.2542053249887695,1.2327561691439006,1.721826101348666,0.9937056714941613,1.876828368352639,0.5110070317563842
REC5,2013-01-01,0.0,DESTROYED,U56,EWELIG,0.75,W,L_H1,1.1554516478548738,1.1060768862325356,1.8457728342686504,0.7831411211733601,1.876828368352639,0.5110070317563842
REC5,2013-01-01,0.0,DESTROYED,U56,EWELIG,0.75,M,L_H1,1.1797214121402322,1.1716145653350483,1.8510662309301997,0.7168298538258506,1.876828368352639,0.5110070317563842
REC5,2013-01-01,0.0,DESTROYED,U56,BAND03,1.0,M,L_H1,1.235527009056482,1.151673645154306,1.8486580084617485,0.9352649075538618,1.876828368352639,0.5110070317563842
REC5,2013-01-01,0.0,DESTROYED,B136,TOP5,0.5,W,L_H1,1.1505375767222363,0.8389338711329086,1.2416253925654086,1.2393857795837495,1.877242007425479,0.5110244392782415
REC5,2013-01-01,0.0,DESTROYED,B136,TOP5,0.65,W,L_H1,1.1515538653449802,0.8430182971179513,1.243716693234237,1.2388651126318886,1.877242007425479,0.5110244392782415
REC5,2013-01-01,0.0,DESTROYED,B136,TOP10,0.5,M,L_H1,1.3271311318592616,0.9531382840288668,1.6876944886871477,1.3318512248836938,1.877242007425479,0.5110244392782415
REC5,2013-01-01,0.0,DESTROYED,B136,TOP20,0.5,M,L_H1,1.3732102098534624,0.9422716168035072,1.8508769333558446,0.8374874771527404,1.877242007425479,0.5110244392782415
REC5,2013-01-01,0.0,DESTROYED,B136,TOP20,0.65,W,L_H1,1.241739177924328,0.8925619097821367,1.6525793634819401,0.8992819764731205,1.877242007425479,0.5110244392782415
REC5,2013-01-01,0.0,DESTROYED,B136,TOP20,0.75,W,L_H1,1.2425938894503068,0.8931763354729311,1.6542635475054375,0.8998413569323429,1.877242007425479,0.5110244392782415
REC5,2013-01-01,5.0,DESTROYED,U56,TOP10,0.5,M,L_H1,1.2337498064334742,1.0754812474996829,1.5367340803756704,1.3159840341181674,1.876828368352639,0.5110070317563842
REC5,2013-01-01,5.0,DESTROYED,U56,TOP10,0.65,W,L_H1,0.9693960522991943,0.9864965197104446,1.3633954541636415,1.2365563666502501,1.876828368352639,0.5110070317563842
REC5,2013-01-01,5.0,DESTROYED,U56,TOP10,0.75,W,L_H1,0.969948971176093,0.9871451342940165,1.3652754787758263,1.236641556927238,1.876828368352639,0.5110070317563842
REC5,2013-01-01,5.0,DESTROYED,U56,TOP20,0.65,W,L_H1,1.1385780290621161,1.1299139302920833,1.7359287949261941,0.9758119411369447,1.876828368352639,0.5110070317563842
